"","Title","Date","User","Body","Rating","Show"
"1596","Best political podcast out there right now",2016-10-12,"Runtymom","I am an avid NPR listener and also read NPR online and WaPo and NYT. I find that when I am in a hurry to catch up on what is going on in the world in politics the NPR Politics Podcast is THE one to make sure I listen to. Makes for great car companion listening or treadmill listens. Thanks NPR!",5,"Politics"
"1597","Essential Podcast",2016-10-12,"yelir707","Smart, entertaining, informative. I don’t know how I would be able to handle this election cycle without it.",5,"Politics"
"1598","Best politics podcast out there",2016-10-12,"AlixK11","I have been listening to this podcast for about a year and it’s my go-to for political and election news and analysis. I love the dynamic between the reporters, it’s a great mix of news, discussion, and banter. Very accessible for people all levels of political knowledge and fun to listen to! I listen to several similar political podcast and this is my favorite!",5,"Politics"
"1599","Perfect For a Busy Person",2016-10-12,"CaliRedd510","I was initially skeptical about listening to a political podcast. I thought it would be very boring with a lot of political jargon. To my surprise, it is very intellectual and understanding. I consider myself fairly smart but not as knowledgeable in the political realm (as I probably should be). This podcast takes that into consideration and breaks things down so everyone can understand it. It's also condensed, which is perfect for my morning commute & the millennials with short attention spans (as the stereotype goes).",5,"Politics"
"1600","Excellent and Entertaining",2016-10-12,"JesseG17","If you're looking for an informative and entertaining podcast to keep you up to date on current politics, this is it. The hosts are knowledgeable and funny, and really try to make the show accessible to everyone. I look forward to seeing them in my feed every week and I'm sure you will too.",5,"Politics"
"1601","Informative and enjoyable.",2016-10-12,"Pnutson909","I feel like a lot of the negative reviews are coming from an older generation saying they don't like young people talking about politics with a moderately humorous attitude. I think it works and works well. This is a great group of people and they are doing great work.",5,"Politics"
"1602","NPR Politics Podcast is my favorite podcast",2016-10-12,"Mama Juan","The NPR politics podcast is THE first podcast in my list to be played. I always look forward to the latest in unbiased news reported from this news cast. Thank you, NPR politics podcast!",5,"Politics"
"1603","Love it!!",2016-10-12,"thomaspaine","They offer candid and nuanced perspectives about this crazy election. They also handle issues about race and gender equality quite well.",5,"Politics"
"1604","Must listen in 2016 election season",2016-10-12,"Arsenalfan1601","The panel is great. They are pretty impartial in my opinion, and are always current on the political happenings. I would highly recommend listening. Personal favs are Sam sanders, Dominic, ron Erving and asma.",5,"Politics"
"1605","Great political podcast",2016-10-12,"stlindley","Super helpful and informative.",5,"Politics"
"1606","Love this podcast!",2016-10-12,"Margyalva","Very informative without being stuffy.",5,"Politics"
"1607","Informative, informal and fun",2016-10-12,"Podcastaholic","During this bizarre presidential race, this has become my favorite podcast. The informal banter is always informative.",5,"Politics"
"1608","All you need to know!",2016-10-12,"BigSis2894","Great podcast. Makes politics digestible and interesting without losing the facts.",5,"Politics"
"1609","Love me some Sam Sanders",2016-10-12,"Gailyxp022212","Love this podcast!!! My favorite to listen to and always up to date with great commentary",5,"Politics"
"1610","My favorite podcast",2016-10-12,"P7kn","Brilliant, witty and balanced - a sane take on the insanity surrounding our current election cycle.
Thanks NPR politics crew for brightening my day (almost every day).",5,"Politics"
"1611","☺️",2016-10-12,"romyandmichelleoffical","I don't know what I would have done this election season without this one. Thanks!",5,"Politics"
"1612","Excellent podcast",2016-10-12,"Wesleydale1","Top notch political discussion. General overview of main political news.",5,"Politics"
"1613","Going the extra mile",2016-10-12,"Trogaroo","I enjoy the podcast but I really appreciate that they go the extra mile. If breaking news happens and they want to discuss it but don't have a podcast scheduled that day,",5,"Politics"
"1614","My favorite podcast",2016-10-12,"mkfgggg","As much as I loved this shows predecessor ""It's All Politics,"" this iteration of NPR Politics takes the podcast to a whole new level. The podcast is consistently insightful, thoughtful,understandable, and entertaining. This politics and podcast nerd couldn't be happier. I recommend this anyone who needs a podcast to listen to! Keep up the good work!",5,"Politics"
"1615","Making this campaign easier.",2016-10-12,"Incon777","This podcast does a good job of recapping facts and presenting some analysis about the current political situation. I disagree with some reviews that say this is ""dumbed down"" or ""too cute""; it's refreshing to have a group that gives analysis and keeps it interesting. It is vitally important that political discourse remains accessible, and the folks on this pod do a great job of providing a balance between in depth thought and accessibility. Keep up the good work, y'all!",5,"Politics"
"1616","Can't Let It Go",2016-10-12,"pfwitucki","I'll tell you what I can't just let go… this podcast! Whether you're just tuning into the election, or have been watching 2016 like a slow motion car wreck – unable to look away, these guys will keep you current on the latest developments and put it into the broader context. Of course there's a lot of love for Ken Rudin, but I'm digging the new sound of the NPR Politics team!",5,"Politics"
"1617","Simply put, the best",2016-10-12,"miked563","There's not much more that can be said about this. This podcast is one of the best podcasts around, let alone in the politics realm. I could not recommend more highly.",5,"Politics"
"1618","Accessible, informative",2016-10-12,"Samsandwich7","I love this podcast. It keeps me in up to date in a concise way. Extremely informative.",5,"Politics"
"1619","First thing I listen to",2016-10-12,"DBNishi","In the midst of the craziest election season ever in America, this podcast has maintained neutrality, keeps asking the hard questions on both sides, and has access to all candidates, which increases their ability to inform us.",5,"Politics"
"1620","This podcast is helping me survive this election",2016-10-12,"JMC86!","Excellent, up-to-date reporting on the election. It's the perfect mix of presenting facts and reasonable opinion. I appreciate their hospitality international listeners and experts from across the (moderate) political spectrum. I don't know how I'd follow this mind-blowing eleection without the podcast!",5,"Politics"
"1621","Addicted!",2016-10-12,"Sarah in Kansas City","I can't get enough of the NPR Politics podcast. So fun listening to the inside baseball from the reporters who are on the trail with the candidates. Keep it up!",5,"Politics"
"1622","On Point",2016-10-12,"DaveFlood","This crew is compulsive listening for the political news junkie.",4,"Politics"
"1623","NPR Politics",2016-10-12,"SP152","This is a great podcast for people obsessed with the 2016 election: informative, interesting and as unbiased as I've come across.",5,"Politics"
"1624","Awesome podcast",2016-10-12,"Andres13","👌🏽👌🏽👌🏽 great podcast",5,"Politics"
"1625","Meh....it is entertaining",2016-10-12,"Takeover231","But it's legitimately all left winged hosts. So you don't get a full perspective. That are moderately entertaining, but could use some spunk.",3,"Politics"
"1626","Favorite podcast",2016-10-12,"Horseloves","Best politics podcast out there. They really calm my nerves a lot in this crazy election year. Keep up the good work!",5,"Politics"
"1627","Lively, informative, entertaining",2016-10-12,"gregsalyer","In a world . . . of 2016 politics, one podcast stands alone as a beacon of intelligence and wit. It is the NPR Politics podcast.",5,"Politics"
"1628","Comprehensive, unbiased examination of the political landscape.",2016-10-12,"Rdaen","Ron Elving is my hero",5,"Politics"
"1629","The best!",2016-10-12,"Znoodle","The best way to stay informed about what's going on in the world of politics without being subject to party bias or mainstream media hype. Every story is firmly rooted in factual information.",5,"Politics"
"1630","Awesome!",2016-10-12,"HallieJustice","An exciting, thorough, witty, and funny take on politics.",5,"Politics"
"1631","Great podcast!",2016-10-12,"LauraCharleston","Love these guys! Always up to date on the most current events, reporting in an unbiased manner!",5,"Politics"
"1632","Literally my favorite podcast",2016-10-12,"Cheehuu","These guys put together a great podcast every week. With the election cycle as it is, they also put out new episodes based on breaking issues and events. And plus it's NPR so you know they are accurate and have no corporate overlords to please in terms of the content they cover. Cheers",5,"Politics"
"1633","I love it!",2016-10-12,"Babe truther","I started with their RNC episodes and look forward to listening even after the election!",5,"Politics"
"1634","Great!",2016-10-12,"KMONEY$$$2000","Excellent, informative podcast.",5,"Politics"
"1635","Great stuff",2016-10-12,"Francois Arouet","This is a great way to keep up with the campaign news and to get fact checking, historical background and analysis. It is also great listening and a fun group of personalities.",5,"Politics"
"1636","Love it!",2016-10-12,"LplusJlove","Best politics podcast! Feels like you're sitting around the table with your extremely well connected friends, discussing the days political news. Not only do they break down the weeks events in an easy to understand way that provokes discussion throughout my day. They also create content when big breaking news events happen. The group of contributors are well informed and break down the political news adding background information. I always feel well informed thanks to NPR politics.",5,"Politics"
"1637","Making this political campaign addictive!",2016-10-12,"Tigerjules","Great reporting, style, voices and more! Great job NPR.",5,"Politics"
"1638","My Favorite Podcast",2016-10-12,"Grymoiresque","I look hopefully for a new episode every morning. Of everything I subscribe to, this is the first one I listen to. I don't have a ton of time to devote to politics, so I appreciate this efficient review of what's going on. The delivery is concise and engaging. Well done, guys.",5,"Politics"
"1639","Great insights on current affairs.",2016-10-12,"estabell1721","Substantial yet lighthearted. I love it!",5,"Politics"
"1640","Come for Sam Sanders, stay for Ron Elving.",2016-10-12,"MELamb08","Love this podcast. A bright spot in an otherwise overwhelming election cycle.",5,"Politics"
"1641","Perfect for educators!",2016-10-12,"Batgirl365","This podcast is one of the best I've come across for balancing informative wonky inside politics with fun and actual emotional depth. The correspondents don't get so inside baseball that a novice can't follow, but also don't patronize their listeners by speaking to them as if they are idiots. In other words, it is perfect for explaining tough subjects to high school kids and adults who want to avoid the cable news and social media echo chambers that currently pervade journalism. Can't recommend enough!",5,"Politics"
"1642","Unbiased analysis",2016-10-12,"Yellownaz","Amazing podcast!",5,"Politics"
"1643","Best political coverage",2016-10-12,"Dave1938","Hey y'all! I love listening to NPR politics podcast crew. They often bring an unbiased take on the 2016 presidential race and I greatly appreciate that. I find myself often revisiting episodes just to make sure I caught all the details. Sam Sanders makes politics relatable and often brings the humanity that is much needed in these types of discussions. Ron Elving always brings a wealth of knowledge and wit to the table that is very welcomed. Keep it up gang!",5,"Politics"
"1644","Awesome",2016-10-12,"tfo_usa","Very informative",5,"Politics"
"1645","A balm for the politically anxious soul",2016-10-12,"j-dot-burr","So glad I have the NPR Politics team to see me through this crazy election, even if half of the panel members pronounce ""gif"" wrong. It has a hard G!",5,"Politics"
"1646","Great political coverage",2016-10-12,"dlducrest","Really appreciate the stories and the thought process behind the news.",5,"Politics"
"1647","I'm always checking for the next podcast",2016-10-12,"anedw7","I check everyday to see if you have a new posting. Keep doing what your doing.",5,"Politics"
"1648","The best",2016-10-12,"kelllllllll","I always look forward to listening",5,"Politics"
"1649","The Best",2016-10-12,"CraigA1270","This is the best place to get real political news! Love the show!",5,"Politics"
"1650","The best.",2016-10-12,"Djsrunner","The best politics podcast.",5,"Politics"
"1651","Informative, flows beautifully",2016-10-11,"UnhappyStreamer36","I'm thankful that this crackerjack team - who interacts respectfully with each other without all of the bubblegum-flavored cotton candy of a morning TV news show - is willing to toss-out its normal podcast schedule to release more episodes on-the-fly, to help me make sense of this volatile 2016 presidential campaign. I appreciate their non-syrupy delivery style and their thoughtful analysis.",5,"Politics"
"1652","Most sane and enjoyable companion to whatever 2016 is",2016-10-11,"himmani","Sanders and crew have helped keep me from dispair this election season. Great insights, Real Talk, good jokes. Tons of experience and perspective from the rotating cast. I feel that I owe these folks in a really significant way.",5,"Politics"
"1653","Great balanced commentary",2016-10-11,"LVVED","Very informative and balanced analysis of the craziness going on",5,"Politics"
"1654","Great Podcast!",2016-10-11,"JCMLnm","This podcast is like having a conversation about politics with a bunch of friends over coffee, it is informal, relaxed, funny, honest, and most of all entertaining... if you are cool enough to have friends who are like walking encyclopedias of political and societal knowledge (I alas am not that cool). They are a diverse bunch of fair and objective journalists and they are all awesome.",5,"Politics"
"1655","Love it!",2016-10-11,"StephCole","Great podcast and discussion. Informative, fun to listen to, and relevant.",5,"Politics"
"1656","Love it!",2016-10-11,"Kerri0128","Great roundup, great team. Keep it up!",5,"Politics"
"1657","BEST",2016-10-11,"Laurakaybar","For pro and amateur politics junkies, this is a must listen podcast. It's informative, entertaining and if you need more convincing -- Sam Sanders is ultimate bae (#texasforever).",5,"Politics"
"1658","Informative & Entertaining",2016-10-11,"Ahouliha","I look forward to their podcasts throughout the week, and am so pleased when one is released unexpectedly! The team has a great dynamic and everyone brings something to the table.",5,"Politics"
"1659","Indispensable",2016-10-11,"Hey Y'All fan","I have been listening to the podcast religiously for a year. I don't think I've missed one. I consider it absolutely essential for me as I try to make sense of the 2016 presidential campaign. Give it a try - you'll be hooked and well informed.",5,"Politics"
"1660","Helpful for election news context!",2016-10-12,"babbel user","As a young voter, I find this podcast to be very helpful giving context for current election news and filling in gaps from the past (when I was too young to remember/properly understand). A big thanks to the reporting done here. I listen to new episodes as soon as they come out!",5,"Politics"
"1661","Wonderful and informative show!",2016-10-12,"luuuuucylu","I love this podcast! Always informative and topical; a must listen, especially in an election year. Keep up the great work!",5,"Politics"
"1662","LIKE",2016-10-12,"Jack Swiss Cheezy","Thank you for being here 2016!!! You help me maintain my sanity and faith in humanity.",5,"Politics"
"1663","So useful during this crazy political season!",2016-10-12,"soj0yful","This podcast has amazing insight, analysis, and humor, and is definitely my go-to source of political info. They make a very complicated system and process easy to understand, and even offer the history of how this political circus came to be what it is today. I feel like a more competent and informed citizen, and I have had fun while becoming one!",5,"Politics"
"1664","Great, unbiased, political discussion",2016-10-12,"Missie1968","Great, intelligent, people who work within politics discussing politics from the last week.

Politics can be rather boring and over some peoples head when discussing some of the more in-depth issues, etc",5,"Politics"
"1665","BEST Political podcast out there!",2016-10-12,"Warfasaurus","I love this podcast. I listen to every episode as soon as they come out. The NPR politics crew are my guides through our very confusing political system!",5,"Politics"
"1666","5-Star",2016-10-12,"zjharr","A great way to stay updated and informed about politics in a highly entertaining way.",5,"Politics"
"1667","Best election coverage full stop",2016-10-12,"Moxie Storm","Could not ask for a more delightful way to be up to date on this election. Their straight forward explanations, humor, and insight are the way all news should be covered.",5,"Politics"
"1668","Got me interested in politics",2016-10-12,"littleha","I never thought I would be interested in politics, but this podcast got me hooked when I first wanted to catch up on the election early this year. You guys did a great job, keep up the good work.",5,"Politics"
"1669","Informative & fun",2016-10-12,"Theroyale","Great listen",5,"Politics"
"1670","Strangely addictive",2016-10-12,"AieaChris","I love this podcast! It's intelligent, funny and I come away from it understanding aspects of our political world that I hadn't even thought about. Every time a new one shows up on my feed I get exceted.",5,"Politics"
"1671","A+ Podcast",2016-10-11,"Sempralba","Informative, balanced, intelligent, interesting and positive. Thank you!!!!!",5,"Politics"
"1672","Thorough, insightful and enjoyable.",2016-10-11,"riverben5","This podcast is one of my favorites because of the wonderful contributors, the thorough fact-checking, insightful commentary and laid back discussion. Keep up the great work.",5,"Politics"
"1673","Insightful Hosts",2016-10-11,"DelixirSorbano","Brilliant recaps and explanations of the nuttiness happening in US Politics. Great show!",5,"Politics"
"1674","Y'all are my faves!",2016-10-11,"Angie Grimmette","This is the podcast I most look forward to each week. If you're looking for balanced, informative, and down to earth reporting you will absolutely love this podcast! You guys, keep up the good work!!",5,"Politics"
"1675","My absolute favorite podcast",2016-10-11,"Jnp809","This is my absolute favorite podcast. I recommend it to everyone I know. They do such an amazing job of unpacking the news and fact checking the candidates. I really hope they continue it after Election Day. I am so much more engaged in politics when I have the npr team to break it down for me",5,"Politics"
"1676","Love it!",2016-10-11,"aschoenbrunner","It's like I am a fly on the wall at a dinner party with all my politically minded friends. Love it!!",5,"Politics"
"1677","Politics Light",2016-10-11,"Jimmy Pops","Just what I want from a politics podcast. Keeps it light and gets me interested in something so if I want to delve deeper I can look it up on my own. Enjoying listening to it as the election draws closer!",5,"Politics"
"1678","Highly recommended",2016-10-11,"ducklaw2009","Great way to follow the election. Enjoy the personalities that come through as well.",5,"Politics"
"1679","It's alright, but dumbed down for ""young listeners"".",2016-10-11,"zurigirl123","Wish it were more informative, less ""hip.""",3,"Politics"
"1680","Great podcast",2016-10-11,"Sodajanie","I look forward to this listen.",5,"Politics"
"1681","Fun to listen to, but better without SS",2016-10-11,"Kraze4wrdz","Really fun show to listen to when it is serious, objective and full of clear analysis. Singing, jokes, and SS's Southern fake gracious tone can be deleted. In a time of data, Domenico's analysis of data is great and very helpful to those who cannot translate data.",3,"Politics"
"1682","Great synergy, discussion and .... Vocalness!",2016-10-11,"Shawn Kemp","My number 1 politics podcast and go-to for all election coverage. Updated multiple times a week, whenever a story breaks. Props to the team here, you guys are the best!!",5,"Politics"
"1683","Great podcast great cast",2016-10-11,"Sam218@&","Love this podcast! The friendly and fun hosts try to stay neutral and casually explain politics.",5,"Politics"
"1684","Refreshingly informative, informal and drama-free",2016-10-11,"Kgibbens","Thank you for working hard to present information in an understandable yet breathable way. I always walk away having learned something and having smiled. During this election especially I find myself looking for a down-to-earth friend who can break down some of the absurdities I see in an intelligent way with an informed point of view. This podcast does just that - and works hard at it. Thank you!!!",5,"Politics"
"1685","Delightful!",2016-10-11,"H00lieh!","Always look forward to this show. Really appreciate that they add extra episodes throughout the week as newsworthy events unfold.",5,"Politics"
"1686","Pastor",2016-10-11,"Rebecca Mos","Very helpful to have the Republican rules specialist on the show over the weekend, to explain why any move to replace Donald Trump was a bank shot. Very informative. We need reminders of how complicated our political system is, in the age of instant gratification, Amazon same day delivery, etc.",5,"Politics"
"1687","Three thumbs up",2016-10-11,"JazzhandsJoy","Excellent coverage, insightful points and topics, great people behind the mic. I never miss it.",5,"Politics"
"1688","Good News Source",2016-10-11,"Dweeb8","Most episodes I have listened to have been mire informative than the regular news cycle.",5,"Politics"
"1689","Addictive",2016-10-11,"Lilysea","Listening to this podcast is like chatting with my friends about political news, except my friends are not expert political journalists. So. Even better.",5,"Politics"
"1690","Amazing",2016-10-11,"Luk661806","Really can't recommend this enough for anyone that's looking for a fact driven discussion around contemporary politics.",5,"Politics"
"1691","Great analysis with personality",2016-10-11,"Digestion","It's like having a great group of friends who can explain political news to you without yelling. I love it.",5,"Politics"
"1692","Love this podcast",2016-10-11,"Battleground State","In this bizarre election, I eagerly await this fun and interesting podcast. It's a light and interesting rundown of current happenings. Good rapport among panel.",5,"Politics"
"1693","The Best",2016-10-11,"habarnard","Evenhanded, informative, and informal. The hosts are knowledgable, honest, and authoritative. They'll earn your trust, no matter which side of the aisle you tune in from.",5,"Politics"
"1694","So Good",2016-10-11,"J Kohl","This is my current favorite podcast. It is helping me get through this torturous election cycle not feeling alone.",5,"Politics"
"1695","Love!",2016-10-11,"Liz02003","Great podcast. Love that they include actual audio clips from the news. Amazing hosts :)",5,"Politics"
"1696","Can't wait for new episodes!",2016-10-11,"Maricatharine","I love this podcast. It's always timely and entertaining. The content is fresh, accurate as well organized in each episode. Keep up the great work NPR Politics team!",5,"Politics"
"1697","Amazing",2016-10-11,"Josemv3","I only wish this show was posted daily! Great job a must listen!",5,"Politics"
"1698","The best ever.",2016-10-11,"Shhhhannon","I love you all. Informative, interesting, and fun.",5,"Politics"
"1699","Like talking politics with your smartest friends.",2016-10-11,"Sayonada","I'm not sure how they do it, but this podcast is smart and fast-paced while still providing plenty of context and fact-checking.

I feel smarter after listening. Thank you!!",5,"Politics"
"1700","I like it",2016-10-11,"Dogdogdogdogdogdogdogdog","But it does lean liberal. However it is more objective than most news sources.",4,"Politics"
"1701","Thoughtful & Concise",2016-10-11,"Corhuva","This is a great podcast for staying in the loop and hearing insightful analysis without hours spent watching TV or dealing with the ulcer from too many opinions and not enough facts. Thanks for a great show!",5,"Politics"
"1702","Great and very Informative",2016-10-11,"JerrodDRagon","Love the show, it's great to learn and get refreshers on political ideology. A welcome breathe of fresh air from the tv media. Keep up the great work NPR team",5,"Politics"
"1703","My favorite way to stay informed this election cycle",2016-10-11,"TeacherOffTopic","In a presidential election season that has been so like a hastily built carnival roller coaster, this podcast is your older sibling holding your hand and urging you not to throw up until the ride stops.",5,"Politics"
"1704","Accessible Politics for the Normally Apolitical",2016-10-11,"alexismargarinos","Very accessible podcast for people tuning into politics this election season who may not be super up to date with everything that's ever happened in politics. The journalists here are not elitist and easy to listen to, but still deeply intelligent and eloquent, and know their stuff.",5,"Politics"
"1705","Super Informative",2016-10-11,"Zenj0000","I was looking for a way to follow the election but without surfing the web forever. I found this podcast and I love it! It's funny and informative and I've learned a ton. I highly recommend it.",5,"Politics"
"1706","A+",2016-10-11,"Mattvolio","A+",5,"Politics"
"1707","Best in the business!",2016-10-11,"BlakeJOlson","These guys are the best, most fair, most on top of it political reporting podcast out there. Regular weekly reporting plus always extra episodes for breaking political stories. An absolute must subscribe for every political junkie, across the political spectrum!",5,"Politics"
"1708","Fun, fair, and informative",2016-10-11,"Frey Seagrove","Great podcast in quality and content. Information is well resourced and fair. On top of that, the host seem like they genuinely love what they do and enjoy having fun with each other.",5,"Politics"
"1709","Important",2016-10-11,"Leftover Burrito","Great casual review of election, often updated so it is always current",5,"Politics"
"1710","Smart political breakdowns",2016-10-11,"Sspragens","This is among my favorite of all podcasts. It is intelligent and timely--they often drop extra podcasts when the news events warrant immediate coverage. Much appreciated by me.",3,"Politics"
"1711","Y'all",2016-10-11,"RyaCha626","This is my go-to pcast for all things politics. Sam Sanders is bae.",5,"Politics"
"1712","Invaluable npr podcast",2016-10-11,"Dymsm678","Great podcast! Makes the 2016 elections way more comprehensible.",5,"Politics"
"1713","Diarrhea",2016-10-11,"Flux2flax","Diarrhea",1,"Politics"
"1714","Informative and Interesting",2016-10-11,"Lil rob g","Filled with great nonpartisan FACTS; discussing all things politics.",5,"Politics"
"1715","Obvious Bias",2016-10-11,"CJJohnson1064","No thank you.",1,"Politics"
"1716","Informative & Diverse",2016-10-11,"Grishana","Have been listening since 2015. Clarify a lot of the complicated election in the US to her adopted citizen. Love what y'all have been doing. Keep up the good work.",5,"Politics"
"1717","Great addition to my political news diet",2016-10-11,"LikeBankingLocally","I love hearing my fellow journalists open up a little and be natural and share their tremendous knowledge and insight this campaign season. I never miss an episode.",5,"Politics"
"1718","Love the show",2016-10-11,"thevirg","I love their diversity of topics, and how deep they dive into issues! Keep up the great work!",4,"Politics"
"1719","Listen to Slate instead",2016-10-11,"PhilipRK","NPR Politics lacks thoughtful insight. I find it superficial, not worth my time.",2,"Politics"
"1720","WONDERFUL.",2016-10-11,"Gray334678535688390","I am a 4th year college student who is able to vote for the first time in this election. I wanted to be informed and make my decision about who to vote for based on accurate, unbiased information. I really appreciate the lightness that they bring to really heavy topics. I don't feel pressured to pick a candidate by this podcast and there is no hidden agenda. They present the facts and they talk about more candidates than Clinton and Trump!",5,"Politics"
"1721","1/3 truth 2/3 articulate spin",2016-10-11,"telephone","I use to love listening to NPR. Honest, down to earth host, great place to get honest news, so I thought. I woke up to the horrible realization that NPR will twist the truth so articulately that we are hypnotized and lead to think a crime or injustice has not happened. For example the injustice of the Dakota pipeline, the Bernie Sanders Campaign, Wikileaks of Hillary Clintons Wall Street transcripts. I love the sweet voices of NPR but I am saddened by the lack of humanity for the Dakota pipeline that NPR host have shown or not shown. Listen to NPR and be aware of the twist and turns they report. You will be awakened to the horrific truth that NPR is apart of the unjust machine.",1,"Politics"
"1722","Politics Made Interesting",2016-10-11,"Jatyberg","I am very thankful for the NPR politics podcast it has opened my eyes to the political world and not only informed me but made me excited at many times to go vote and keep up with what's going on in the political sector of our country!",5,"Politics"
"1723","I listen to every episode",2016-10-11,"Milhouse81","I listen to every episode. I like it. A nice mix of people.",5,"Politics"
"1724","Essential Listening for the 2016 Presidential Campaign",2016-10-11,"Gore_Not_Core","This podcast should be required listening during the current election cycle. The correspondents are both knowledgeable and engaging.",5,"Politics"
"1725","Only thing getting me through this election year some days.",2016-10-11,"edawg2","Love these people. Indebted to NPR and this team's tireless, thorough, calm coverage. Laughing at the reviews that say it tilts liberal, because in this unprecedentedly INSANE political year, I'm sometimes frustrated at the objectivity they maintain. But I listen to NPR's regular news shows, and still rely on this dropping in my feed on the regular. Do yourself a favor and check it out. And thanks, y'all!!",5,"Politics"
"1726","The best!",2016-10-11,"Roxie.1981","Love this podcast. Everyone on it brings such depth to the conversation. In a election year that is certified cray, this podcast is a bright spot. 😊",5,"Politics"
"1727","Fresh take from a few perpectives",2016-10-11,"DarthEvil7289","More in depth than cable news, supplements print. I enjoy the mix of journalists (gender and generations) and ideas. They are critical from a practical standpoint. I think Ron Elving is the best thing since sliced bread.",5,"Politics"
"1728","How I stay up to date with current events",2016-10-11,"samhgabriel","So good , only wish they did more a week or that the Episodes where even longer",5,"Politics"
"1729","My go-to politics feed",2016-10-11,"Mrs Josh Lyman","I found this podcast during the conventions this summer, and have not looked back. The variety of panelists provide a great perspective and insights on the campaign and historical precedents. Their rapport and casualness is also refreshing, you feel like you're grabbing a cup of coffee with a group of friends. They're also very humble, encouraging people to seek out other sources for points of view so the electorate is well-informed and well-rounded.",5,"Politics"
"1730","Great show. Clarity and an even keel.",2016-10-11,"TheCoon696","Thanks guys!",5,"Politics"
"1731","Ok- needs more substance!",2016-10-10,"M_Gbh","Good listen, but I wish they spent more time explaining policy! And things that will impact everyday Americans.",3,"Politics"
"1732","Great Podcast",2016-10-10,"Pole locker","I love this Podcast. However, I feel like Sam Sanders doesn't provide any great insight to the Podcast. He tells jokes, adds humor and loves to voice his opinion but he relies on his quirky jokes to carry him through the episode. If he was better this would be a better Podcast than Planet Money - which is the ultimate.",5,"Politics"
"1733","The best!",2016-10-10,"Yolanda Hodoor","Intelligent discussions, non-partisan. This is my go to for keeping on top of US politics.",5,"Politics"
"1734","Listen to All",2016-10-10,"BassWinslow","I look forward to every episode.",5,"Politics"
"1735","Excellent reporting; fun, topical banter",2016-10-10,"Ardrigh","This is a group of professionals who respect the subject, the listener and each other. I will listen to this group as long as they broadcast",5,"Politics"
"1736","The best",2016-10-10,"McGreevs","The best political podcast in the game.",5,"Politics"
"1737","MOAR! MOAR! MOAR!",2016-10-10,"Tap star to rate the game","The title says it all.",5,"Politics"
"1738","Normalized",2016-10-10,"GDinTally","This podcast is frustrating because the hosts treat the 2016 election as a horse race. They consistently normalize Trump and his positions by failing to point out his many deceptions and outright lies - instead they put them on the same footing as Hillary's distortions. Coverage may be pleasant but it often ends up being superficial",1,"Politics"
"1739","Engaging",2016-10-10,"bhritscold","I love this podcast. It's fun and informative at the same time. I highly recommend it to EVERYONE.",5,"Politics"
"1740","Student at Villanova University",2016-10-10,"Madeline 21","I really love the way that this podcasts breaks down the less obvious political insights for people who want to be informed but don't have a political science background. If you are sick of seeing the same posts on facebook discussing (at length) the pieces of the election that are far from relevant and want to understand more about the real issues and what our future might look like in America, this podcast is for you. Thanks to the hosts for doing such a wonderful job.",5,"Politics"
"1741","Every Episode a Xmas Present",2016-10-10,"NotAWit","This group of individuals delivers political news with grace and intelligence. More than that, they are fun! I'll put it another way. Ya know how you have those friends that go to expensive gastropubs and swirl wine and everyone at the table talks because they love the sound of their own voice? Then you have those friends that you grab your favorite drink with, split a deep dish, and talk because you enjoy each other's conversations? THAT is this podcast; educated, intelligent, and relaxed. Vocalness Forever!",5,"Politics"
"1742","My favorite podcast, hands down",2016-10-10,"mkmccalmont","I am constantly checking my feed to see if there will be a new podcast that I can listen to, even when it isn't time for there to be a new one. The best day is when an unplanned podcast pops up and I get to listen. I love you guys, you are the best out there, and what you do is so helpful.",5,"Politics"
"1743","Invaluable in 2016 campaign",2016-10-10,"rayofchuck","The NPR Politics team is the antidote to the divisiveness and sensationalism so many other media outlets have embodied throughout this tumultos election. Sharp, witty, respectful, and fair, they are uniquely accessible and talk about politics the way the rest of the nation should.",5,"Politics"
"1744","Ahhhh Mazing politics podcast",2016-10-10,"howell31","Love the team that puts on this podcast! It's an easy listen to keep you updated an informed",5,"Politics"
"1745","NPR Politics is so much better than tv.",2016-10-10,"SpiderMonkey7598","I listen to NPR Politics during my morning commute and I love it. Everyone on the show is thoughtful, no one interrupts each other like on cable news, and the issues are elaborated in clear detail while acknowledging different viewpoints. This podcast is a great example of both good journalism and entertainment. Keep up the good work!",5,"Politics"
"1746","Great Reporting & Analysis",2016-10-10,"Candace42","I love the diverse perspectives presented by the NPR team. Love the humor too!",5,"Politics"
"1747","My favorite political podcast",2016-10-10,"lil alison","And I listen to them all. Love it!",5,"Politics"
"1748","CLIG",2016-10-10,"DG MD","My favorite podcast, politics or otherwise.",5,"Politics"
"1749","Necessary for rounding out my knowledge.",2016-10-10,"Pablo-KC61","Fresh & useful. The team is solid and offers timely, insightful observations. Thanks, NPR, for a great product!",5,"Politics"
